customer_tweet_id,customer_message,gold_intent,predicted_intent,classifier_confidence,top_similarity,decision,generated_reply,judge_groundedness,judge_relevance,judge_helpfulness,judge_tone,judge_no_unsupported_claims,judge_overall
842507,using apps it’s slow to register what I’m doing and the touch screen doesn’t register where I am tapping on the screen or won’t skip song,device_hardware,device_hardware,0.99627493,0.21673902,ESCALATE,"We're happy to help you with your concern about slow app registration and touchscreen responsiveness. Can you please tell us which apps you're using and if the issue is specific to those apps, or if it occurs across all apps?",2,2,2,2,2,2.0
1513910,Erm boys it won’t let me play it 😟😟😭😭 I brought it and this happened 😭😭 <URL>,app_issue,other,0.63181386,0.424910334,ESCALATE,"Hi there, Sorry to hear that you're having trouble playing something on your device. Can you tell me more about what happened right before the issue started? Did you notice any unusual behavior or errors before it stopped working?",2,2,2,2,1,1.8
1044440,phone fell from 0.5 metres and front screen shattered - how is it the strongest ever ? Replace it free ?? Where in Gurgaon?,device_hardware,device_hardware,0.93751,0.228574951,ESCALATE,"Hello,

Sorry to hear that your phone's screen shattered after a fall. We understand your concern about the device's durability.

We can't provide a refund or guarantee, but we can try to assist you with service options. Our store location in Gurgaon is not available, but we can offer repair services. To get started, please DM us with your current location and we'll be happy to provide more information on how to proceed.

Best regards,
[Your Name]",4,3,3,4,5,3.8
2271818,wth going on here <URL>,other,other,0.898172367,0.811432372,AUTO-HANDLE,Let's find out. What do you see if you click on the battery?,2,2,2,2,2,2.0
1704008,Photos in #macOS High Sierra is SO buggy — I can't imagine it was in a hand of a single QA. And I even waited till 10.13.1. you either charge for upgrades again or keep the half-done stuff for yourself. As a paying customer I say 👎,data_storage,ios_update_bug,0.456171661,0.35100217,ESCALATE,"We can assist you with the issues you're experiencing with #macOS High Sierra. To further investigate, could you please send us a DM with more details about your specific problems and the country where you are located? <URL>",2,2,2,2,2,2.0
2321400,Why is my Final Cut Pro X keeps crashing after I updated to high Sierra?,ios_update_bug,ios_update_bug,0.820312935,0.410063958,AUTO-HANDLE,"Thanks for reaching out to us about the issues you're experiencing with Final Cut Pro X on High Sierra. When you say it's crashing, can you tell us more about what happens before and after the crash? For example, do you notice any specific symptoms, such as a blue screen, error messages, or a sudden drop in performance?",2,2,2,2,1,1.8
2144072,"when writing email, gmail account, in Mail app, on our iMac, sometimes progressive drafts show up on our iPad, but not iMac",account_security,other,0.385283434,0.219746016,ESCALATE,"We'd like to help you troubleshoot the issue with progressive drafts showing up on your iPad when writing emails in the Mail app, but not on your iMac. 

Could you please tell us more about the emails in question? Are they draft emails you're trying to send, or were they previously saved?",4,4,4,4,4,4.0
2052193,If put out a sh*t release like 11.3 there would’ve been hell to pay. Slow as f*ck #fixyourshit,other,other,0.631635204,0.244438645,ESCALATE,We'd love to help with this. Can you tell us more about the issue you're experiencing with your iPhone running iOS 11? Are you experiencing any specific symptoms or errors that you think might be related to the recent update?,2,2,2,2,2,2.0
2300117,Ok thanks for your help xxx,other,other,0.867639867,0.678881957,AUTO-HANDLE,You're welcome!,5,5,5,5,5,5.0
1657292,I️ can’t even type “I” without that fucking symbol showing!! get your shit together!!!,other,other,0.861314069,0.50154545,AUTO-HANDLE,We'd like to help with this. Can you tell us more about what you're experiencing with the symbol showing when you try to type? Is this issue specific to a particular app or device?,2,2,2,3,1,2.0
2519438,"Super annoyed that my iPhone can’t type the letter I️ in email, posts! Fix it! Grrr! #hateappleupdates #fixit #WTF",app_issue,other,0.843128931,0.383051978,AUTO-HANDLE,"Thanks for reaching out. We're here to help. Can you please DM us with some more information about your iPhone, such as the country where you're located and the device model you're using? This will help us better assist you with the issue you're experiencing with typing the letter I️.",2,2,2,2,2,2.0
1523778,"Boy, installing latest IOS update was a BIG mistake... my iPhone 6s home button won’t work unless I click on it repeatedly",device_hardware,device_hardware,0.770605553,0.381928847,AUTO-HANDLE,"We'd be happy to help with your iPhone 6s home button issue. Can you tell us more about the behavior you're experiencing with the home button, such as when was the last time it worked normally and what happened when you installed the latest iOS update?",4,4,4,4,4,4.0
1864086,IOS game center frequently disconnecting help me out on this,ios_update_bug,ios_update_bug,0.357821789,0.368430736,ESCALATE,"We're happy to help. Can you tell us more about what's happening with Game Center on your iPhone? Is this happening when you try to start a game, or are you experiencing frequent disconnections in general?",4,5,5,5,5,4.8
842450,"Hi , my 5s had 6 iOS updates over the last 7 days and last night all my apps - WhatsApp, etc - stopped working... what gives?",app_issue,ios_update_bug,0.676004919,0.273371875,ESCALATE,We apologize that you're experiencing issues with your apps after recent iOS updates. We'd like to help you troubleshoot the issue. Can you please join us in a Direct Message so we can take a closer look at your device and iOS version?,2,2,2,2,1,1.8
1524072,why am I️ getting a weird symbol when typing “I️” - are u so powerful that u r reinventing alphabet ? Already reset. #helpI,other,other,0.720005657,0.375308334,AUTO-HANDLE,"We're happy to help you with the weird symbol issue. Can you please join us in DM with more details about the issue, such as the iOS version currently installed on your device, and we'll do our best to assist you further?",2,2,2,3,1,2.0
1247843,Anyone else finds #iphone8plus is heating a lot after 10mins phone conversations,other,other,0.573150385,0.340660757,ESCALATE,"Hi there! We're happy to help you with your iPhone 8 Plus heating up. Can you tell us more about the issue, such as when it started and if you've noticed any other symptoms?",4,4,4,4,4,4.0
2003232,Is the activation server down? Keep getting the error that it's Temp Unavailable while trying to activate my X,other,other,0.512157179,0.432653918,ESCALATE,"Congratulations on your new device! We've received your message and would like to help. Can you please try activating wirelessly or with iTunes to see if that resolves the issue? Additionally, we'd like to help you further. Would you be able to DM us the device details so we can assist you more efficiently?",2,2,3,3,1,2.2
